sub_id	entry	is_head	page_start	page_end	n_pages	source	start_confidence	end_confidence	warning
10800001-0	1	1	1	1	1	inferred			
10800001-1	1	0	1	1	1	inferred			
10800002-0	2	1	1	1	1	inferred			
10800002-1	2	0	1	1	1	inferred			
10800003-0	3	1	1	1	1	inferred			
10800003-1	3	0	1	1	1	inferred			
10800004-0	4	1	1	1	1	inferred			
10800004-1	4	0	1	1	1	inferred			
10800004-2	4	0	1	1	1	inferred			
10800005-0	5	1	1	1	1	inferred			
10800005-1	5	0	1	1	1	inferred			
10800006-0	6	1	1	1	1	inferred			
10800006-1	6	0	1	1	1	inferred			
10800007-0	7	1	1	1	1	inferred			
10800007-1	7	0	1	1	1	inferred			
10800008-0	8	1	1	1	1	inferred			
10800008-1	8	0	1	1	1	inferred			
10800009-0	9	1	1	1	1	inferred			
10800009-1	9	0	1	1	1	inferred			
10800010-0	10	1	1	1	1	inferred			
10800010-1	10	0	1	1	1	inferred			
10800011-0	11	1	1	1	1	inferred			
10800011-1	11	0	1	1	1	inferred			
10800011-2	11	0	1	1	1	inferred			
10800012-0	12	1	1	1	1	inferred			
10800012-1	12	0	1	1	1	anchor	unknown	confirmed	
10800013-0	13	1	2	2	1	inferred	confirmed	confirmed	
10800013-1	13	0	2	2	1	inferred	confirmed	confirmed	
10800014-0	14	1	2	2	1	inferred	confirmed	confirmed	
10800014-1	14	0	2	2	1	inferred	confirmed	confirmed	
10800015-0	15	1	2	2	1	inferred	confirmed	confirmed	
10800015-1	15	0	2	2	1	inferred	confirmed	confirmed	
10800016-0	16	1	2	2	1	inferred	confirmed	confirmed	
10800016-1	16	0	2	2	1	inferred	confirmed	confirmed	
10800017-0	17	1	2	2	1	inferred	confirmed	confirmed	
10800017-1	17	0	2	2	1	inferred	confirmed	confirmed	
10800017-2	17	0	2	2	1	inferred	confirmed	confirmed	
10800018-0	18	1	2	2	1	inferred	confirmed	confirmed	
10800018-1	18	0	2	2	1	inferred	confirmed	confirmed	
10800019-0	19	1	2	2	1	inferred	confirmed	confirmed	
10800019-1	19	0	2	2	1	inferred	confirmed	confirmed	
10800020-0	20	1	2	2	1	inferred	confirmed	confirmed	
10800020-1	20	0	2	2	1	inferred	confirmed	confirmed	
10800020-2	20	0	2	2	1	inferred	confirmed	confirmed	
10800021-0	21	1	2	2	1	inferred	confirmed	confirmed	
10800021-1	21	0	2	2	1	inferred	confirmed	confirmed	
10800022-0	22	1	2	2	1	inferred	confirmed	confirmed	
10800022-1	22	0	2	2	1	inferred	confirmed	confirmed	
10800022-2	22	0	2	2	1	inferred	confirmed	confirmed	
10800022-3	22	0	2	2	1	inferred	confirmed	confirmed	
10800023-0	23	1	2	2	1	inferred	confirmed	confirmed	
10800023-1	23	0	2	2	1	inferred	confirmed	confirmed	
10800024-0	24	1	2	2	1	inferred	confirmed	confirmed	
10800024-1	24	0	2	2	1	inferred	confirmed	confirmed	
10800024-2	24	0	2	3	2	anchor	unknown	uncertain	page_end extended from 2 to 3: text_position did not indicate a real ending on page 2, and no other block won any page in between, so it must finish no earlier than the page where '10800024-3' starts.
10800024-3	24	0	3	3	1	inferred	confirmed	confirmed	
10800024-4	24	0	3	3	1	inferred	confirmed	confirmed	
10800025-0	25	1	3	3	1	inferred	confirmed	confirmed	
10800025-1	25	0	3	3	1	inferred	confirmed	confirmed	
10800026-0	26	1	3	3	1	inferred	confirmed	confirmed	
10800026-1	26	0	3	3	1	inferred	confirmed	confirmed	
10800027-0	27	1	3	3	1	inferred	confirmed	confirmed	
10800027-1	27	0	3	3	1	inferred	confirmed	confirmed	
10800028-0	28	1	3	3	1	inferred	confirmed	confirmed	
10800028-1	28	0	3	3	1	inferred	confirmed	confirmed	
10800029-0	29	1	3	3	1	inferred	confirmed	confirmed	
10800029-1	29	0	3	3	1	inferred	confirmed	confirmed	
10800030-0	30	1	3	3	1	inferred	confirmed	confirmed	
10800030-1	30	0	3	3	1	inferred	confirmed	confirmed	
10800031-0	31	1	3	3	1	inferred	confirmed	confirmed	
10800031-1	31	0	3	3	1	inferred	confirmed	confirmed	
10800032-0	32	1	3	3	1	inferred	confirmed	confirmed	
10800032-1	32	0	3	3	1	inferred	confirmed	confirmed	
10800033-0	33	1	3	3	1	inferred	confirmed	confirmed	
10800033-1	33	0	3	3	1	inferred	confirmed	confirmed	
10800034-0	34	1	3	3	1	inferred	confirmed	confirmed	
10800034-1	34	0	3	3	1	inferred	confirmed	confirmed	
10800034-2	34	0	3	3	1	inferred	confirmed	confirmed	
10800035-0	35	1	3	3	1	inferred	confirmed	confirmed	
10800035-1	35	0	3	3	1	inferred	confirmed	confirmed	
10800036-0	36	1	3	3	1	inferred	confirmed	confirmed	
10800036-1	36	0	3	3	1	inferred	confirmed	confirmed	
10800036-2	36	0	3	3	1	inferred	confirmed	confirmed	
10800036-3	36	0	3	3	1	anchor	unknown	confirmed	
10800037-0	37	1	4	4	1	inferred	confirmed	confirmed	
10800037-1	37	0	4	4	1	inferred	confirmed	confirmed	
10800038-0	38	1	4	4	1	inferred	confirmed	confirmed	
10800038-1	38	0	4	4	1	inferred	confirmed	confirmed	
10800039-0	39	1	4	4	1	inferred	confirmed	confirmed	
10800039-1	39	0	4	4	1	inferred	confirmed	confirmed	
10800039-2	39	0	4	4	1	inferred	confirmed	confirmed	
10800039-3	39	0	4	4	1	inferred	confirmed	confirmed	
10800040-0	40	1	4	4	1	inferred	confirmed	confirmed	
10800040-1	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-2	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-3	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-4	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-5	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-6	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-7	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-8	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-9	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-10	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-11	40	0	4	4	1	inferred	confirmed	confirmed	
10800040-12	40	0	4	4	1	inferred	confirmed	confirmed	
10800041-0	41	1	4	4	1	inferred	confirmed	confirmed	
10800041-1	41	0	4	4	1	inferred	confirmed	confirmed	
10800042-0	42	1	4	4	1	inferred	confirmed	confirmed	
10800042-1	42	0	4	4	1	inferred	confirmed	confirmed	
10800042-2	42	0	4	4	1	inferred	confirmed	confirmed	
10800042-3	42	0	4	5	2	anchor	unknown	uncertain	page_end extended from 4 to 5: text_position did not indicate a real ending on page 4, and no other block won any page in between, so it must finish no earlier than the page where '10800042-4' starts.
10800042-4	42	0	5	5	1	inferred	confirmed	confirmed	
10800042-5	42	0	5	5	1	inferred	confirmed	confirmed	
10800043-0	43	1	5	5	1	inferred	confirmed	confirmed	
10800043-1	43	0	5	5	1	inferred	confirmed	confirmed	
10800044-0	44	1	5	5	1	inferred	confirmed	confirmed	
10800044-1	44	0	5	5	1	inferred	confirmed	confirmed	
10800044-2	44	0	5	5	1	inferred	confirmed	confirmed	
10800045-0	45	1	5	5	1	inferred	confirmed	confirmed	
10800045-1	45	0	5	5	1	inferred	confirmed	confirmed	
10800046-0	46	1	5	5	1	inferred	confirmed	confirmed	
10800046-1	46	0	5	5	1	inferred	confirmed	confirmed	
10800047-0	47	1	5	5	1	inferred	confirmed	confirmed	
10800047-1	47	0	5	5	1	inferred	confirmed	confirmed	
10800048-0	48	1	5	5	1	inferred	confirmed	confirmed	
10800048-1	48	0	5	5	1	inferred	confirmed	confirmed	
10800048-2	48	0	5	5	1	inferred	confirmed	confirmed	
10800048-3	48	0	5	5	1	inferred	confirmed	confirmed	
10800049-0	49	1	5	5	1	inferred	confirmed	confirmed	
10800049-1	49	0	5	5	1	inferred	confirmed	confirmed	
10800050-0	50	1	5	5	1	inferred	confirmed	confirmed	
10800050-1	50	0	5	5	1	inferred	confirmed	confirmed	
10800051-0	51	1	5	5	1	inferred	confirmed	confirmed	
10800051-1	51	0	5	5	1	inferred	confirmed	confirmed	
10800052-0	52	1	5	5	1	inferred	confirmed	confirmed	
10800052-1	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-2	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-3	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-4	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-5	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-6	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-7	52	0	5	5	1	inferred	confirmed	confirmed	
10800052-8	52	0	5	5	1	anchor	unknown	confirmed	
10800052-9	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-10	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-11	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-12	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-13	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-14	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-15	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-16	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-17	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-18	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-19	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-20	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-21	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-22	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-23	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-24	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-25	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-26	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-27	52	0	6	6	1	inferred	confirmed	confirmed	
10800052-28	52	0	6	6	1	inferred	confirmed	confirmed	
10800053-0	53	1	6	6	1	inferred	confirmed	confirmed	
10800053-1	53	0	6	6	1	inferred	confirmed	confirmed	
10800053-2	53	0	6	6	1	inferred	confirmed	confirmed	
10800053-3	53	0	6	7	2	anchor	unknown	uncertain	page_end extended from 6 to 7: text_position did not indicate a real ending on page 6, and no other block won any page in between, so it must finish no earlier than the page where '10800054-0' starts.
10800054-0	54	1	7	7	1	inferred	confirmed	confirmed	
10800054-1	54	0	7	7	1	inferred	confirmed	confirmed	
10800055-0	55	1	7	7	1	inferred	confirmed	confirmed	
10800055-1	55	0	7	7	1	inferred	confirmed	confirmed	
10800055-2	55	0	7	7	1	inferred	confirmed	confirmed	
10800056-0	56	1	7	7	1	inferred	confirmed	confirmed	
10800056-1	56	0	7	7	1	inferred	confirmed	confirmed	
10800057-0	57	1	7	7	1	inferred	confirmed	confirmed	
10800057-1	57	0	7	7	1	inferred	confirmed	confirmed	
10800058-0	58	1	7	7	1	inferred	confirmed	confirmed	
10800058-1	58	0	7	7	1	inferred	confirmed	confirmed	
10800059-0	59	1	7	7	1	inferred	confirmed	confirmed	
10800059-1	59	0	7	7	1	inferred	confirmed	confirmed	
10800060-0	60	1	7	7	1	inferred	confirmed	confirmed	
10800060-1	60	0	7	7	1	inferred	confirmed	confirmed	
10800061-0	61	1	7	7	1	inferred	confirmed	confirmed	
10800061-1	61	0	7	7	1	inferred	confirmed	confirmed	
10800062-0	62	1	7	7	1	inferred	confirmed	confirmed	
10800062-1	62	0	7	7	1	inferred	confirmed	confirmed	
10800063-0	63	1	7	7	1	inferred	confirmed	confirmed	
