sub_id	entry	is_head	page_start	page_end	n_pages	source	start_confidence	end_confidence	warning
10800024-2	24	0	2	3	2	anchor	unknown	uncertain	page_end extended from 2 to 3: text_position did not indicate a real ending on page 2, and no other block won any page in between, so it must finish no earlier than the page where '10800024-3' starts.
10800042-3	42	0	4	5	2	anchor	unknown	uncertain	page_end extended from 4 to 5: text_position did not indicate a real ending on page 4, and no other block won any page in between, so it must finish no earlier than the page where '10800042-4' starts.
10800053-3	53	0	6	7	2	anchor	unknown	uncertain	page_end extended from 6 to 7: text_position did not indicate a real ending on page 6, and no other block won any page in between, so it must finish no earlier than the page where '10800054-0' starts.
10800064-1	64	0	7	8	2	anchor	unknown	uncertain	page_end extended from 7 to 8: text_position did not indicate a real ending on page 7, and no other block won any page in between, so it must finish no earlier than the page where '10800064-2' starts.
10800069-1	69	0	8	9	2	anchor	unknown	uncertain	page_end extended from 8 to 9: text_position did not indicate a real ending on page 8, and no other block won any page in between, so it must finish no earlier than the page where '10800070-0' starts.
10800076-24	76	0	10	11	2	anchor	unknown	uncertain	page_end extended from 10 to 11: text_position did not indicate a real ending on page 10, and no other block won any page in between, so it must finish no earlier than the page where '10800076-25' starts.
10800086-9	86	0	12	13	2	anchor	unknown	uncertain	page_end extended from 12 to 13: text_position did not indicate a real ending on page 12, and no other block won any page in between, so it must finish no earlier than the page where '10800086-10' starts.
10800098-0	98	1	14	15	2	anchor	unknown	uncertain	page_end extended from 14 to 15: text_position did not indicate a real ending on page 14, and no other block won any page in between, so it must finish no earlier than the page where '10800098-1' starts.
10800101-9	101	0	15	16	2	anchor	unknown	uncertain	page_end extended from 15 to 16: text_position did not indicate a real ending on page 15, and no other block won any page in between, so it must finish no earlier than the page where '10800101-10' starts.
10800104-11	104	0	16	17	2	anchor	unknown	uncertain	page_end extended from 16 to 17: text_position did not indicate a real ending on page 16, and no other block won any page in between, so it must finish no earlier than the page where '10800104-12' starts.
10800121-8	121	0	20	21	2	anchor	unknown	uncertain	page_end extended from 20 to 21: text_position did not indicate a real ending on page 20, and no other block won any page in between, so it must finish no earlier than the page where '10800122-0' starts.
10800127-0	127	1	21	22	2	anchor	unknown	uncertain	page_end extended from 21 to 22: text_position did not indicate a real ending on page 21, and no other block won any page in between, so it must finish no earlier than the page where '10800127-1' starts.
10800134-7	134	0	22	23	2	anchor	unknown	uncertain	page_end extended from 22 to 23: text_position did not indicate a real ending on page 22, and no other block won any page in between, so it must finish no earlier than the page where '10800135-0' starts.
10800141-2	141	0	23	24	2	anchor	unknown	uncertain	page_end extended from 23 to 24: text_position did not indicate a real ending on page 23, and no other block won any page in between, so it must finish no earlier than the page where '10800142-0' starts.
10800153-6	153	0	25	26	2	anchor	unknown	uncertain	page_end extended from 25 to 26: text_position did not indicate a real ending on page 25, and no other block won any page in between, so it must finish no earlier than the page where '10800153-7' starts.
10800165-4	165	0	27	28	2	anchor	unknown	uncertain	page_end extended from 27 to 28: text_position did not indicate a real ending on page 27, and no other block won any page in between, so it must finish no earlier than the page where '10800165-5' starts.
10800177-3	177	0	30	31	2	anchor	unknown	uncertain	page_end extended from 30 to 31: text_position did not indicate a real ending on page 30, and no other block won any page in between, so it must finish no earlier than the page where '10800177-4' starts.
10800195-1	195	0	32	33	2	anchor	unknown	uncertain	page_end extended from 32 to 33: text_position did not indicate a real ending on page 32, and no other block won any page in between, so it must finish no earlier than the page where '10800195-2' starts.
10800238-2	238	0	36	37	2	anchor	unknown	uncertain	page_end extended from 36 to 37: text_position did not indicate a real ending on page 36, and no other block won any page in between, so it must finish no earlier than the page where '10800239-0' starts.
10800242-1	242	0	37	38	2	anchor	unknown	uncertain	page_end extended from 37 to 38: text_position did not indicate a real ending on page 37, and no other block won any page in between, so it must finish no earlier than the page where '10800243-0' starts.
10800267-1	267	0	40	41	2	anchor	unknown	uncertain	page_end extended from 40 to 41: text_position did not indicate a real ending on page 40, and no other block won any page in between, so it must finish no earlier than the page where '10800267-2' starts.
10800284-6	284	0	43	44	2	anchor	unknown	uncertain	page_end extended from 43 to 44: text_position did not indicate a real ending on page 43, and no other block won any page in between, so it must finish no earlier than the page where '10800284-7' starts.
10800294-7	294	0	46	47	2	anchor	unknown	uncertain	page_end extended from 46 to 47: text_position did not indicate a real ending on page 46, and no other block won any page in between, so it must finish no earlier than the page where '10800294-8' starts.
10800294-41	294	0	48	49	2	anchor	unknown	uncertain	page_end extended from 48 to 49: text_position did not indicate a real ending on page 48, and no other block won any page in between, so it must finish no earlier than the page where '10800294-42' starts.
10800313-6	313	0	51	52	2	anchor	unknown	uncertain	page_end extended from 51 to 52: text_position did not indicate a real ending on page 51, and no other block won any page in between, so it must finish no earlier than the page where '10800313-7' starts.
10800323-1	323	0	52	53	2	anchor	unknown	uncertain	page_end extended from 52 to 53: text_position did not indicate a real ending on page 52, and no other block won any page in between, so it must finish no earlier than the page where '10800323-2' starts.
10800329-4	329	0	53	54	2	anchor	unknown	uncertain	page_end extended from 53 to 54: text_position did not indicate a real ending on page 53, and no other block won any page in between, so it must finish no earlier than the page where '10800330-0' starts.
10800342-1	342	0	55	56	2	anchor	unknown	uncertain	page_end extended from 55 to 56: text_position did not indicate a real ending on page 55, and no other block won any page in between, so it must finish no earlier than the page where '10800342-2' starts.
10800345-11	345	0	56	57	2	anchor	unknown	uncertain	page_end extended from 56 to 57: text_position did not indicate a real ending on page 56, and no other block won any page in between, so it must finish no earlier than the page where '10800345-12' starts.
10800354-1	354	0	57	58	2	anchor	unknown	uncertain	page_end extended from 57 to 58: text_position did not indicate a real ending on page 57, and no other block won any page in between, so it must finish no earlier than the page where '10800355-0' starts.
10800359-1	359	0	58	59	2	anchor	unknown	uncertain	page_end extended from 58 to 59: text_position did not indicate a real ending on page 58, and no other block won any page in between, so it must finish no earlier than the page where '10800360-0' starts.
10800394-2	394	0	62	63	2	anchor	unknown	uncertain	page_end extended from 62 to 63: text_position did not indicate a real ending on page 62, and no other block won any page in between, so it must finish no earlier than the page where '10800394-3' starts.
10800394-17	394	0	63	64	2	anchor	unknown	uncertain	page_end extended from 63 to 64: text_position did not indicate a real ending on page 63, and no other block won any page in between, so it must finish no earlier than the page where '10800394-18' starts.
10800401-0	401	1	64	65	2	anchor	unknown	uncertain	page_end extended from 64 to 65: text_position did not indicate a real ending on page 64, and no other block won any page in between, so it must finish no earlier than the page where '10800401-1' starts.
10800418-10	418	0	66	67	2	anchor	unknown	uncertain	page_end extended from 66 to 67: text_position did not indicate a real ending on page 66, and no other block won any page in between, so it must finish no earlier than the page where '10800419-0' starts.
10800426-1	426	0	67	68	2	anchor	unknown	uncertain	page_end extended from 67 to 68: text_position did not indicate a real ending on page 67, and no other block won any page in between, so it must finish no earlier than the page where '10800426-2' starts.
10800435-2	435	0	68	69	2	anchor	unknown	uncertain	page_end extended from 68 to 69: text_position did not indicate a real ending on page 68, and no other block won any page in between, so it must finish no earlier than the page where '10800435-3' starts.
